,D,n,Time
0,10.0,1000.0,124.8514518737793
1,10.0,10000.0,1245.9796657562256
2,10.0,50000.0,6186.047795057297
3,10.0,100000.0,12261.712818861008
4,50.0,1000.0,123.12981176376343
5,50.0,10000.0,1230.1931879520416
6,50.0,50000.0,6137.794597387314
7,50.0,100000.0,12240.059687137604
8,100.0,1000.0,123.53303551673889
9,100.0,10000.0,1231.123330116272
10,100.0,50000.0,6176.907637357712
11,100.0,100000.0,12394.13264465332
