	D	n	Time
0	10.0	100.0	1.3752386569976807
1	10.0	1000.0	2.0435354709625244
2	10.0	5000.0	14.140485286712646
3	10.0	10000.0	26.707332611083984
4	50.0	100.0	1.4473731517791748
5	50.0	1000.0	9.336177349090576
6	50.0	5000.0	24.305861234664917
7	50.0	10000.0	42.23623704910278
